timestamp,combination,total_fps,view1_fps,view2_fps,view3_fps,view4_fps,view1_infer_ms,view2_infer_ms,view3_infer_ms,view4_infer_ms,drop_rate_fps,v_score,backlog_total,view1_q,view2_q,view3_q,view4_q,drop_count
2026-07-29 16:01:17,combination_stable,281.18,281.18,0.00,0.00,0.00,3.56,0.00,0.00,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:18,combination_stable,1098.06,234.61,397.04,466.41,0.00,4.26,2.52,2.14,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:19,combination_stable,1158.25,229.91,429.99,498.35,0.00,4.35,2.33,2.01,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:20,combination_stable,1166.91,235.47,427.93,503.50,0.00,4.25,2.34,1.99,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:21,combination_stable,1197.82,241.47,433.79,522.57,0.00,4.14,2.31,1.91,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:22,combination_stable,1193.81,241.51,428.25,524.05,0.00,4.14,2.34,1.91,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:23,combination_stable,1201.48,244.55,433.45,523.49,0.00,4.09,2.31,1.91,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:24,combination_stable,1205.48,243.76,436.10,525.62,0.00,4.10,2.29,1.90,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:25,combination_stable,1207.21,243.13,436.05,528.02,0.00,4.11,2.29,1.89,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:26,combination_stable,1212.70,241.71,438.15,532.84,0.00,4.14,2.28,1.88,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:27,combination_stable,1208.02,242.85,435.74,529.43,0.00,4.12,2.29,1.89,0.00,0.0000,0.000000,0,0,0,0,0,0
2026-07-29 16:01:28,combination_burst,1069.93,243.44,375.32,451.17,0.00,4.11,2.66,2.22,0.00,4.8183,0.000000,2,0,2,0,0,53
2026-07-29 16:01:29,combination_burst,715.02,124.44,218.10,372.48,0.00,8.04,4.59,2.68,0.00,10.8332,4.726267,4,2,2,0,0,130
2026-07-29 16:01:30,combination_burst,552.52,90.27,128.19,334.06,0.00,11.08,7.80,2.99,0.00,15.1520,9.438377,3,2,1,0,0,197
2026-07-29 16:01:31,combination_burst,469.90,68.58,95.66,305.66,0.00,14.58,10.45,3.27,0.00,18.7139,14.036508,4,2,2,0,0,262
2026-07-29 16:01:32,combination_burst,422.19,55.79,77.30,289.10,0.00,17.92,12.94,3.46,0.00,21.7972,14.008937,4,2,2,0,0,327
2026-07-29 16:01:33,combination_burst,387.62,47.33,66.05,274.24,0.00,21.13,15.14,3.65,0.00,24.6213,13.796413,2,1,1,0,0,394
2026-07-29 16:01:34,combination_burst,365.73,42.20,58.81,264.72,0.00,23.70,17.00,3.78,0.00,26.9994,13.784766,4,2,2,0,0,459
2026-07-29 16:01:35,combination_burst,347.54,37.52,53.25,256.77,0.00,26.65,18.78,3.89,0.00,29.1100,13.882296,4,2,2,0,0,524
2026-07-29 16:01:36,combination_burst,332.73,33.89,49.20,249.64,0.00,29.51,20.32,4.01,0.00,31.0513,13.889841,4,2,2,0,0,590
2026-07-29 16:01:37,combination_burst,321.95,31.45,45.86,244.63,0.00,31.79,21.80,4.09,0.00,32.7995,13.969317,4,2,2,0,0,656
2026-07-29 16:01:38,combination_burst,311.56,29.00,43.19,239.37,0.00,34.49,23.15,4.18,0.00,34.3795,13.910569,3,2,1,0,0,722
