set_id,N,n_pow2,n_feasible,n_measured_gpu,n_measured_npu,coverage_gpu,coverage_npu,mode,strata_key,source_ref
S1,2,4,4,4,4,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.S1 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
S2,3,8,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.S2 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
S3,3,8,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.S3 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
S4,3,8,4,4,4,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.S4 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
base1,4,16,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.base1 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
base2,4,16,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.base2 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
base3,4,16,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.base3 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
base4,4,16,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.base4 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
base5,4,16,8,8,8,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.base5 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
S5,5,32,16,16,16,1.0,1.0,exhaustive,"n/a (exhaustive enumeration, no sampling)","working_sets.yaml:sets.S5 (N, models); xgboost_model/gen_collection_schedules.py:free_models+all_placements via model_registry.py:DEVICE_CONSTRAINTS (n_feasible); xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json:[].models[].execution (n_measured_gpu); xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json:[].models[].execution (n_measured_npu); xgboost_model/gen_collection_schedules.py:combos_for (strata_key)"
