alpha,beta,n_changed_sets_gpu,n_changed_sets_npu,changed_sets_gpu,changed_sets_npu,n_changed_groups_gpu,n_changed_groups_npu
0.0,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.0,0.25,0,2,,base5;S8,0,3
0.0,0.5,0,2,,base5;S8,0,3
0.0,0.75,0,1,,S8,0,1
0.0,1.0,0,0,,,0,0
0.1,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.1,0.25,0,2,,base5;S8,0,3
0.1,0.5,0,2,,base5;S8,0,3
0.1,0.75,0,1,,S8,0,1
0.1,1.0,0,0,,,0,0
0.2,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.2,0.25,0,2,,base5;S8,0,3
0.2,0.5,0,2,,base5;S8,0,3
0.2,0.75,0,1,,S8,0,1
0.2,1.0,0,0,,,0,0
0.3,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.3,0.25,0,2,,base5;S8,0,3
0.3,0.5,0,2,,base5;S8,0,3
0.3,0.75,0,1,,S8,0,1
0.3,1.0,0,0,,,0,0
0.4,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.4,0.25,0,2,,base5;S8,0,3
0.4,0.5,0,2,,base5;S8,0,3
0.4,0.75,0,1,,S8,0,1
0.4,1.0,0,0,,,0,0
0.5,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.5,0.25,0,2,,base5;S8,0,3
0.5,0.5,0,2,,base5;S8,0,3
0.5,0.75,0,1,,S8,0,1
0.5,1.0,0,0,,,0,0
0.6,0.0,6,2,S3;base1;base2;base3;base4;base5,base5;S8,6,3
0.6,0.25,0,2,,base5;S8,0,3
0.6,0.5,0,2,,base5;S8,0,3
0.6,0.75,0,1,,S8,0,1
0.6,1.0,0,0,,,0,0
