alpha,beta,n_changed_sets_gpu,n_changed_sets_npu,changed_sets_gpu,changed_sets_npu,n_changed_groups_gpu,n_changed_groups_npu
0.0,0.0,9,11,S3;base1;base2;base3;base4;base5;S7;S8;S10,S3;S4;base1;base2;base3;base4;base5;S5;S6;S7;S8,9,27
0.0,0.25,3,9,S7;S8;S10,S3;base1;base2;base3;base4;base5;S5;S6;S7,3,20
0.0,0.5,3,8,S7;S8;S10,base1;base2;base3;base4;S5;S6;S7;S8,3,14
0.0,0.75,3,7,S7;S8;S10,base1;base2;base3;base4;S5;S7;S8,3,9
0.0,1.0,1,6,S10,base1;base2;base4;S5;S7;S8,1,7
0.15,0.0,4,10,base5;S7;S8;S10,S3;base1;base2;base3;base4;base5;S5;S6;S7;S8,4,25
0.15,0.25,3,7,S7;S8;S10,base1;base2;base3;base4;S5;S6;S7,3,14
0.15,0.5,3,6,S7;S8;S10,base1;base2;base3;base4;S5;S7,3,7
0.15,0.75,1,4,S10,base1;base2;S5;S7,1,4
0.15,1.0,1,4,S10,base1;base2;S7;S8,1,4
0.3,0.0,2,10,S7;S8,S3;base1;base2;base3;base4;base5;S5;S6;S7;S8,2,25
0.3,0.25,1,7,S8,base1;base2;base3;base4;S5;S6;S7,1,10
0.3,0.5,1,6,S8,base1;base2;base3;base4;S5;S7,1,6
0.3,0.75,1,2,S8,base1;base2,1,2
0.3,1.0,0,0,,,0,0
0.45,0.0,1,10,S8,S3;base1;base2;base3;base4;base5;S5;S6;S7;S8,1,20
0.45,0.25,1,7,S8,base1;base2;base3;base4;S5;S6;S7,1,9
0.45,0.5,1,5,S8,base1;base2;base3;base4;S7,1,5
0.45,0.75,1,2,S8,base3;S7,1,2
0.45,1.0,1,2,S8,base3;base4,1,2
0.6,0.0,1,10,S8,S3;base1;base2;base3;base4;base5;S5;S6;S7;S8,1,19
0.6,0.25,1,6,S8,base1;base2;base3;base4;S7;S8,1,9
0.6,0.5,1,4,S8,base1;base3;base4;S7,1,5
0.6,0.75,1,3,S8,base3;base4;S7,1,3
0.6,1.0,1,2,S8,base3;base4,1,2
