directory,filename,best_deployment,best_throughput,best_drop_rate,better_combination,better_throughput,better_drop_rate,diff
results,performance_20260112_141215_model_schedules_resnet_x3.json,combination_2,88.5,141.0,combination_1,96.5,346.0,8.0
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_344,27.78,277.0,6.790000000000003
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_1,21.28,590.0,6.110000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_19,27.28,484.0,5.640000000000001
results,performance_20260112_141119_model_schedules_resnet_test.json,combination_1,57.83,458.0,combination_2,63.09,506.0,5.260000000000005
results,performance_20251224_072843_model_schedules_m_r_r_s_s_x2.json,combination_18,22.47,346.0,combination_28,27.61,392.0,5.140000000000001
results,performance_20251224_081936_model_schedules_m_r_r_t_y.json,combination_21,16.81,568.0,combination_8,21.53,884.0,4.720000000000002
results,performance_20251224_070427_model_schedules_g_m_t_x3.json,combination_7,31.19,508.0,combination_6,35.68,562.0,4.489999999999998
results,performance_20251224_111208_model_schedules_m_r_t_y_test.json,combination_1,18.67,471.0,combination_2,23.13,508.0,4.459999999999997
results,performance_20251224_080535_model_schedules_m_r_r_t_y_x2.json,combination_9,18.48,575.0,combination_8,22.66,669.0,4.18
results,performance_20251224_070239_model_schedules_g_m_t_x2.json,combination_7,30.72,525.0,combination_5,34.88,608.0,4.160000000000004
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_429,25.06,368.0,4.07
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_3,24.49,549.0,4.049999999999997
results,performance_20251224_055051_model_schedules_g_m_r_r_s_t_x3.json,combination_10,20.86,290.0,combination_48,24.86,414.0,4.0
results,performance_20251224_072843_model_schedules_m_r_r_s_s_x2.json,combination_18,22.47,346.0,combination_6,26.42,562.0,3.950000000000003
results,performance_20251224_061843_model_schedules_g_m_r_r_t_test.json,combination_15,20.62,368.0,combination_17,24.55,437.0,3.9299999999999997
results,performance_20251224_093406_model_schedules_r_x2.json,combination_2,90.74,22.0,combination_1,94.62,47.0,3.8800000000000097
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_85,25.71,366.0,3.870000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_3,25.38,177.0,3.7399999999999984
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_10,24.17,568.0,3.7300000000000004
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_7,24.16,602.0,3.719999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_161,25.35,199.0,3.710000000000001
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_33,25.31,256.0,3.669999999999998
results,performance_20251224_052259_model_schedules_g_m_r_r_s_t_test.json,combination_40,21.74,283.0,combination_42,25.35,382.0,3.610000000000003
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_9,25.4,206.0,3.5599999999999987
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_181,24.52,230.0,3.530000000000001
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_11,18.6,595.0,3.4300000000000015
results,performance_20251224_015924_model_schedules_g_m_r_r_s_s_t_v_y.json,combination_249,23.13,245.0,combination_507,26.56,472.0,3.4299999999999997
results,performance_20251224_061843_model_schedules_g_m_r_r_t_test.json,combination_15,20.62,368.0,combination_9,23.92,491.0,3.3000000000000007
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_7,24.88,160.0,3.2399999999999984
results,performance_20251229_180806_model_schedules_g_m_r_r_s_s_t_v_y_test.json,combination_25,20.99,198.0,combination_68,24.19,383.0,3.200000000000003
results,performance_20251224_071047_model_schedules_g_r_y_x2.json,combination_6,17.85,452.0,combination_4,21.05,553.0,3.1999999999999993
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_4,23.62,616.0,3.1799999999999997
results,performance_20251224_042719_model_schedules_g_m_r_r_s_s_t_x3.json,combination_29,24.09,131.0,combination_54,27.26,196.0,3.1700000000000017
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_14,23.59,574.0,3.1499999999999986
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_138,24.73,278.0,3.09
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_129,24.64,244.0,3.0
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_135,24.63,265.0,2.9899999999999984
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_11,24.61,170.0,2.969999999999999
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_93,24.52,182.0,2.879999999999999
results,performance_20251224_083336_model_schedules_m_r_r_v_y_x2.json,combination_5,15.25,521.0,combination_10,18.1,624.0,2.8500000000000014
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_43,24.49,301.0,2.849999999999998
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_9,23.27,659.0,2.8299999999999983
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_17,24.45,430.0,2.8099999999999987
results,performance_20251224_075315_model_schedules_m_r_r_test.json,combination_7,21.14,851.0,combination_1,23.94,1079.0,2.8000000000000007
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_11,23.22,645.0,2.7799999999999976
results,performance_20251224_075835_model_schedules_m_r_r_t_y_test.json,combination_10,15.17,516.0,combination_8,17.94,580.0,2.7700000000000014
results,performance_20251224_073543_model_schedules_m_r_r_s_s_x3.json,combination_23,23.32,356.0,combination_1,26.09,540.0,2.7699999999999996
results,performance_20251223_170443_model_schedules_g_m_r_r_s_s_t_v_x2.json,combination_180,21.64,95.0,combination_239,24.41,219.0,2.7699999999999996
results,performance_20251224_035931_model_schedules_g_m_r_r_s_s_t_x2.json,combination_70,21.84,118.0,combination_33,24.6,289.0,2.7600000000000016
results,performance_20251224_065719_model_schedules_g_m_r_t.json,combination_6,20.44,489.0,combination_13,23.2,628.0,2.759999999999998
