schedule_name,content
model_schedules_rb.yaml,"# model_schedules_rb.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 85
    model: resnet50_big

combination_2:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 23
    model: resnet50_big

combination_3:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 23
    model: resnet50_big
"
model_schedules_rb_2x.yaml,"# model_schedules_rb_2x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 170
    model: resnet50_big

combination_2:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 46
    model: resnet50_big

combination_3:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 46
    model: resnet50_big
"
model_schedules_rb_4x.yaml,"# model_schedules_rb_4x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 340
    model: resnet50_big

combination_2:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 92
    model: resnet50_big

combination_3:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 92
    model: resnet50_big
"
model_schedules_rbrs.yaml,"# model_schedules_rbrs.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small

combination_4:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small

combination_5:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small

combination_6:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small

combination_7:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
"
model_schedules_rbrs_2x.yaml,"# model_schedules_rbrs_2x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 4
    model: resnet50_small

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 4
    model: resnet50_small

combination_4:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small

combination_5:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 4
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 4
    model: resnet50_small

combination_6:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small

combination_7:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 4
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 4
    model: resnet50_small
"
model_schedules_rbrs_4x.yaml,"# model_schedules_rbrs_4x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 8
    model: resnet50_small

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 8
    model: resnet50_small

combination_4:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small

combination_5:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 8
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 8
    model: resnet50_small

combination_6:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small

combination_7:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 8
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 8
    model: resnet50_small
"
model_schedules_rbrsyb.yaml,"# model_schedules_rbrsyb.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small
# - yolov3_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_10:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_11:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_12:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big

combination_13:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big

combination_4:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_5:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big

combination_6:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_7:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big

combination_8:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big

combination_9:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big
"
model_schedules_rbrsyb_2x.yaml,"# model_schedules_rbrsyb_2x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small
# - yolov3_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_10:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 4
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_11:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_12:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 60
    model: yolov3_big

combination_13:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 4
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 60
    model: yolov3_big

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 60
    model: yolov3_big

combination_4:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_5:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 4
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 60
    model: yolov3_big

combination_6:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_7:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 4
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 4
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 60
    model: yolov3_big

combination_8:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 60
    model: yolov3_big

combination_9:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 4
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 4
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 60
    model: yolov3_big
"
model_schedules_rbrsyb_4x.yaml,"# model_schedules_rbrsyb_4x.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small
# - yolov3_big

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_10:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 8
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_11:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_12:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 120
    model: yolov3_big

combination_13:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 8
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 120
    model: yolov3_big

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 120
    model: yolov3_big

combination_4:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_5:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 8
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 120
    model: yolov3_big

combination_6:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_7:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 8
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 8
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 120
    model: yolov3_big

combination_8:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 120
    model: yolov3_big

combination_9:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 8
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 8
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 120
    model: yolov3_big
"
model_schedules_rbrsybys.yaml,"# model_schedules_rbrsybys.yaml
# Auto-generated configuration for model execution on CPU or NPU

# Target device file: target_device.yaml
# Available devices:
# - CPU: 1
# - NPU: 2 (IDs: 0, 1)

# Available models:
# - resnet50_big
# - resnet50_small
# - yolov3_big
# - yolov3_small

# Model-execution configurations with unique IDs

combination_1:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_10:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_11:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_12:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu0:
    display: view4
    execution: npu0
    infps: 30
    model: yolov3_small

combination_13:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_14:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_15:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu1:
    display: view4
    execution: npu1
    infps: 30
    model: yolov3_small

combination_16:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_17:
  resnet50_big_npu0:
    display: view1
    execution: npu0
    infps: 2
    model: resnet50_big
  resnet50_small_npu1:
    display: view2
    execution: npu1
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_18:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_19:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu0:
    display: view4
    execution: npu0
    infps: 30
    model: yolov3_small

combination_2:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu0:
    display: view4
    execution: npu0
    infps: 30
    model: yolov3_small

combination_20:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_21:
  resnet50_big_npu1:
    display: view1
    execution: npu1
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_3:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu1:
    display: view4
    execution: npu1
    infps: 30
    model: yolov3_small

combination_4:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_5:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu0:
    display: view3
    execution: npu0
    infps: 30
    model: yolov3_big
  yolov3_small_npu1:
    display: view4
    execution: npu1
    infps: 30
    model: yolov3_small

combination_6:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_7:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_cpu:
    display: view2
    execution: cpu
    infps: 2
    model: resnet50_small
  yolov3_big_npu1:
    display: view3
    execution: npu1
    infps: 30
    model: yolov3_big
  yolov3_small_npu0:
    display: view4
    execution: npu0
    infps: 30
    model: yolov3_small

combination_8:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_cpu:
    display: view4
    execution: cpu
    infps: 30
    model: yolov3_small

combination_9:
  resnet50_big_cpu:
    display: view1
    execution: cpu
    infps: 2
    model: resnet50_big
  resnet50_small_npu0:
    display: view2
    execution: npu0
    infps: 2
    model: resnet50_small
  yolov3_big_cpu:
    display: view3
    execution: cpu
    infps: 30
    model: yolov3_big
  yolov3_small_npu1:
    display: view4
    execution: npu1
    infps: 30
    model: yolov3_small
"
