# provenance: {"generated_at": "2026-07-29T18:41:17+09:00", "git_commit": "c37c5bd761fbbe8ea50202b2aca82eb9b17fca1b (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P6 view-level oof"}
platform,combination,model,dev,eff_fps,ratio_raw,target,pred
gpu,combination_401,mobilenet_v2,cpu,814.332,0.0360,0.0360,0.0407
gpu,combination_401,resnet50,gpu,314.664,0.1490,0.1490,0.1608
gpu,combination_401,yolo11s,gpu,89.856,0.3196,0.3196,0.3494
gpu,combination_401,yolo11m,cpu,18.106,0.0514,0.0514,0.0537
gpu,combination_401,yolo11l,cpu,13.968,0.0501,0.0501,0.0528
gpu,combination_401,yolo11x,cpu,7.065,0.0580,0.0580,0.0608
gpu,combination_416,mobilenet_v2,gpu,1285.347,0.0735,0.0735,0.0717
gpu,combination_416,resnet50,cpu,157.332,0.2233,0.2233,0.2545
gpu,combination_416,yolo11s,gpu,89.856,0.3847,0.3847,0.5129
gpu,combination_416,yolo11m,gpu,36.212,0.8746,0.8746,0.8657
gpu,combination_416,yolo11l,gpu,27.936,0.8992,0.8992,0.8968
gpu,combination_416,yolo11x,gpu,14.130,0.9271,0.9271,0.9436
gpu,combination_391,mobilenet_v2,gpu,1221.498,0.0632,0.0632,0.0682
gpu,combination_391,resnet50,gpu,235.998,0.3267,0.3267,0.3541
gpu,combination_391,yolo11s,gpu,67.392,0.6419,0.6419,0.6618
gpu,combination_391,yolo11m,gpu,27.159,0.8535,0.8535,0.8652
gpu,combination_391,yolo11l,cpu,13.968,0.1181,0.1181,0.1203
gpu,combination_391,yolo11x,gpu,10.598,0.9124,0.9124,0.9115
gpu,combination_361,mobilenet_v2,gpu,814.332,0.0994,0.0994,0.0941
gpu,combination_361,resnet50,gpu,157.332,0.4880,0.4880,0.4942
gpu,combination_361,yolo11s,gpu,44.928,0.8342,0.8342,0.8432
gpu,combination_361,yolo11m,cpu,18.106,0.1337,0.1337,0.1471
gpu,combination_361,yolo11l,gpu,13.968,0.9049,0.9049,0.9209
gpu,combination_361,yolo11x,gpu,7.065,0.9455,0.9455,0.9353
gpu,combination_368,mobilenet_v2,gpu,814.332,0.1189,0.1189,0.1260
gpu,combination_368,resnet50,cpu,157.332,0.3474,0.3474,0.3108
gpu,combination_368,yolo11s,gpu,44.928,0.8963,0.8963,0.8806
gpu,combination_368,yolo11m,gpu,18.106,0.9411,0.9411,0.9387
gpu,combination_368,yolo11l,gpu,13.968,0.9515,0.9515,0.9403
gpu,combination_368,yolo11x,gpu,7.065,0.9894,0.9894,0.9610
gpu,combination_394,mobilenet_v2,gpu,1221.498,0.0408,0.0408,0.0337
gpu,combination_394,resnet50,cpu,157.332,0.0249,0.0249,0.0261
gpu,combination_394,yolo11s,cpu,44.928,0.0336,0.0336,0.0338
gpu,combination_394,yolo11m,cpu,18.106,0.0414,0.0414,0.0421
gpu,combination_394,yolo11l,cpu,13.968,0.0401,0.0401,0.0403
gpu,combination_394,yolo11x,cpu,7.065,0.0453,0.0453,0.0519
gpu,combination_384,mobilenet_v2,cpu,814.332,0.0434,0.0434,0.0478
gpu,combination_384,resnet50,gpu,235.998,0.2520,0.2520,0.2737
gpu,combination_384,yolo11s,gpu,67.392,0.6378,0.6378,0.5862
gpu,combination_384,yolo11m,cpu,18.106,0.0724,0.0724,0.0735
gpu,combination_384,yolo11l,gpu,20.952,0.8209,0.8209,0.8353
gpu,combination_384,yolo11x,cpu,7.065,0.0835,0.0835,0.0946
gpu,combination_408,mobilenet_v2,cpu,814.332,0.0515,0.0515,0.0497
gpu,combination_408,resnet50,gpu,314.664,0.1866,0.1866,0.2024
gpu,combination_408,yolo11s,gpu,89.856,0.3870,0.3870,0.4457
gpu,combination_408,yolo11m,cpu,18.106,0.0635,0.0635,0.0727
gpu,combination_408,yolo11l,gpu,27.936,0.7700,0.7700,0.7809
gpu,combination_408,yolo11x,cpu,7.065,0.0878,0.0878,0.0833
gpu,combination_419,mobilenet_v2,gpu,1285.347,0.0415,0.0415,0.0414
gpu,combination_419,resnet50,gpu,314.664,0.1639,0.1639,0.1758
gpu,combination_419,yolo11s,cpu,44.928,0.0385,0.0385,0.0459
gpu,combination_419,yolo11m,gpu,36.212,0.6791,0.6791,0.7192
gpu,combination_419,yolo11l,cpu,13.968,0.0444,0.0444,0.0525
gpu,combination_419,yolo11x,cpu,7.065,0.0580,0.0580,0.0604
gpu,combination_349,mobilenet_v2,cpu,814.332,0.0209,0.0209,0.0191
gpu,combination_349,resnet50,cpu,157.332,0.0163,0.0163,0.0136
gpu,combination_349,yolo11s,cpu,44.928,0.0187,0.0187,0.0219
gpu,combination_349,yolo11m,cpu,18.106,0.0304,0.0304,0.0249
gpu,combination_349,yolo11l,cpu,13.968,0.0251,0.0251,0.0220
gpu,combination_349,yolo11x,cpu,7.065,0.0340,0.0340,0.0435
gpu,combination_409,mobilenet_v2,gpu,1285.347,0.0597,0.0597,0.0574
gpu,combination_409,resnet50,gpu,314.664,0.2425,0.2425,0.2899
gpu,combination_409,yolo11s,gpu,89.856,0.4328,0.4328,0.4932
