# provenance: {"generated_at": "2026-07-29T18:33:47+09:00", "git_commit": "154f11480b290e3425256b0b0b20b74f093fdacc (pre-commit HEAD)", "alpha": 0.3, "beta": 1.0, "seed": 42, "input_data": ["/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_gpu/performance_gpu_full540.json", "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/full_collection_540/cpu_npu/performance_npu_full540.json"], "experiment": "P5 capacity greedy", "static_profile": "/home/msyu/PycharmProjects/multimodel-scheduling-mobilint/xgboost_model/performance_data/sample_profiling_data/sample_profiling_data.json"}
platform,set,rate,variant,greedy_accel,collected,matched_combo,top1,s_norm,oracle_norm,ratio_norm,s_raw,oracle_raw,ratio_raw,cum_load
gpu,S8,2.0,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.979
gpu,S8,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11s",1,combination_401,0,0.7342,1.6921,0.4339,138.253,370.520,0.3731,0.937
gpu,S8,1.5,speedup,"llama1b,qwen2_vl,yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.734
gpu,S8,1.5,load_factor,"llama1b,mobilenet_v2,qwen2_vl",1,combination_394,0,0.4433,1.7096,0.2593,85.974,386.467,0.2225,0.985
gpu,S8,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.759
gpu,S8,1.0,load_factor,"mobilenet_v2,qwen2_vl,resnet50,yolo11x",1,combination_359,0,0.2812,2.0000,0.1406,128.579,399.615,0.3218,1.004
gpu,S10,2.0,speedup,"yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.933
gpu,S10,2.0,load_factor,"resnet50,yolo11n",1,combination_538,0,-0.0621,0.8553,-0.0726,86.730,365.612,0.2372,0.958
gpu,S10,1.5,speedup,"yolo11l,yolo11m,yolo11s,yolo11x",0,,,,,,,,,0.700
gpu,S10,1.5,load_factor,"mobilenet_v2",1,combination_501,0,-0.1536,1.0000,-0.1536,54.460,373.778,0.1457,0.950
gpu,S10,1.0,speedup,"resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,combination_482,0,0.8091,1.0000,0.8091,313.347,373.656,0.8386,0.945
gpu,S10,1.0,load_factor,"mobilenet_v2,resnet50,yolo11x",1,combination_473,0,0.0737,1.0000,0.0737,117.548,373.656,0.3146,0.982
gpu,base4,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_88,1,2.0000,2.0000,1.0000,313.024,313.024,1.0000,0.804
gpu,base4,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11l",1,combination_88,1,2.0000,2.0000,1.0000,313.024,313.024,1.0000,0.804
gpu,base5,3.0,speedup,"llama1b,qwen2_vl,yolo11x",1,combination_118,0,1.1473,2.0000,0.5737,176.063,297.453,0.5919,0.306
gpu,base5,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_119,0,1.0438,2.0000,0.5219,188.400,297.453,0.6334,0.876
gpu,base5,2.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_112,1,2.0000,2.0000,1.0000,313.347,313.347,1.0000,0.743
gpu,base5,2.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_112,1,2.0000,2.0000,1.0000,313.347,313.347,1.0000,0.743
gpu,base1,2.0,speedup,"llama1b,qwen2_vl,yolo11n",1,combination_14,0,0.9280,2.0000,0.4640,207.957,394.622,0.5270,0.465
gpu,base1,2.0,load_factor,"qwen2_vl,resnet50,yolo11n",1,combination_12,0,1.0060,2.0000,0.5030,274.964,394.622,0.6968,1.001
gpu,base5,1.0,speedup,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_104,1,1.9585,1.9585,1.0000,282.662,282.662,1.0000,0.371
gpu,base5,1.0,load_factor,"llama1b,qwen2_vl,resnet50,yolo11x",1,combination_104,1,1.9585,1.9585,1.0000,282.662,282.662,1.0000,0.371
gpu,base3,3.0,speedup,"llama1b,qwen2_vl,yolo11m",1,combination_70,0,1.1338,2.0000,0.5669,185.813,314.874,0.5901,0.372
gpu,base3,3.0,load_factor,"llama1b,qwen2_vl,resnet50",1,combination_71,0,1.0857,2.0000,0.5428,199.682,314.874,0.6342,0.876
gpu,base2,3.0,speedup,"llama1b,qwen2_vl,yolo11s",1,combination_46,0,1.0063,2.0000,0.5032,205.132,373.561,0.5491,0.598
