# provenance: {"generated_at": "2026-07-30T19:35+09:00 (KST)", "score_basis": "raw measured window totals", "alpha": 0.3, "betas": [1.0, 0.5], "group": "(set, rate)", "tie_rule": "1e-9 tie set; intersecting tie sets = agreement", "generator": "scripts/compare_platforms_v2.py --basis raw", "original_generation": "2026-07-29T18:32:09+09:00, commit 475a2089eb49a1906d663508055d3aeb5d5e2d43", "superseded_by": "platform_divergence.csv (declared_normalized, Eq. 1)"}
beta,set,rate,gpu_best_accel,npu_best_accel,same,gpu_best_score,npu_best_score,gpu_best_combo,npu_best_combo
1.0,S1,2.0,"resnet50,yolo11s","resnet50,yolo11s",1,237.655,237.491,combination_124,combination_124
1.0,S1,3.0,"resnet50,yolo11s","resnet50,yolo11s",1,260.705,246.936,combination_128,combination_128
1.0,S1,4.0,"resnet50,yolo11s","resnet50,yolo11s",1,259.737,244.248,combination_132,combination_132
1.0,S2,1.0,"mobilenet_v2,resnet50,yolo11s","mobilenet_v2,resnet50,yolo11s",1,302.752,303.958,combination_140,combination_140
1.0,S2,2.0,"mobilenet_v2,resnet50,yolo11s","mobilenet_v2,resnet50,yolo11s",1,352.309,354.168,combination_148,combination_148
1.0,S2,3.0,"mobilenet_v2,resnet50,yolo11s","mobilenet_v2,resnet50,yolo11s",1,365.055,357.866,combination_156,combination_156
1.0,S3,1.0,"llama1b,resnet50,yolo11s","resnet50,yolo11s",0,254.345,143.834,combination_164,combination_160
1.0,S3,2.0,"llama1b,resnet50,yolo11s","resnet50,yolo11s",0,327.789,203.037,combination_172,combination_168
1.0,S3,3.0,"llama1b,resnet50,yolo11s","resnet50,yolo11s",0,339.579,200.243,combination_180,combination_176
1.0,S4,1.0,"qwen2_vl,resnet50,yolo11s","qwen2_vl,yolo11s",0,197.163,125.632,combination_184,combination_182
1.0,S4,2.0,"qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",1,285.480,172.503,combination_188,combination_188
1.0,S4,3.0,"qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",1,300.939,154.585,combination_192,combination_192
1.0,base1,1.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,340.309,147.856,combination_8,combination_4
1.0,base1,2.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,395.252,151.594,combination_16,combination_12
1.0,base1,3.0,"llama1b,qwen2_vl,resnet50,yolo11n","qwen2_vl,resnet50,yolo11n",0,383.601,134.145,combination_24,combination_20
1.0,base2,1.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,310.581,130.100,combination_32,combination_28
1.0,base2,2.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,364.572,149.287,combination_40,combination_36
1.0,base2,3.0,"llama1b,qwen2_vl,resnet50,yolo11s","qwen2_vl,resnet50,yolo11s",0,374.421,133.915,combination_48,combination_44
1.0,base3,1.0,"llama1b,qwen2_vl,resnet50,yolo11m","llama1b,qwen2_vl,yolo11m",0,293.104,120.291,combination_56,combination_54
1.0,base3,2.0,"llama1b,qwen2_vl,resnet50,yolo11m","qwen2_vl,resnet50,yolo11m",0,322.623,132.197,combination_64,combination_60
1.0,base3,3.0,"llama1b,qwen2_vl,resnet50,yolo11m","qwen2_vl,resnet50,yolo11m",0,315.694,126.608,combination_72,combination_68
1.0,base4,1.0,"llama1b,qwen2_vl,resnet50,yolo11l","llama1b,qwen2_vl,yolo11l",0,288.073,117.530,combination_80,combination_78
1.0,base4,2.0,"llama1b,qwen2_vl,resnet50,yolo11l","qwen2_vl,resnet50,yolo11l",0,313.634,130.559,combination_88,combination_84
1.0,base4,3.0,"llama1b,qwen2_vl,resnet50,yolo11l","qwen2_vl,resnet50,yolo11l",0,300.584,122.473,combination_96,combination_92
1.0,base5,1.0,"llama1b,qwen2_vl,resnet50,yolo11x","llama1b,qwen2_vl,yolo11x",0,283.002,111.597,combination_104,combination_102
1.0,base5,2.0,"llama1b,qwen2_vl,resnet50,yolo11x","qwen2_vl,resnet50,yolo11x",0,313.967,116.112,combination_112,combination_108
1.0,base5,3.0,"llama1b,qwen2_vl,resnet50,yolo11x","llama1b,qwen2_vl,yolo11x",0,298.303,107.667,combination_120,combination_118
1.0,S5,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,434.349,227.191,combination_208,combination_200
1.0,S5,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,456.416,210.398,combination_224,combination_216
1.0,S5,3.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11s",0,458.029,187.272,combination_240,combination_232
1.0,S6,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,425.255,239.282,combination_242,combination_246
1.0,S6,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,439.499,238.283,combination_258,combination_262
1.0,S6,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11m,yolo11s",0,437.533,226.148,combination_274,combination_278
1.0,S7,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,412.266,244.685,combination_290,combination_305
1.0,S7,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,414.917,242.835,combination_310,combination_325
1.0,S7,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s","mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s",0,404.199,234.998,combination_330,combination_345
1.0,S9,1.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,381.389,389.564,combination_422,combination_422
1.0,S9,2.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,402.020,444.247,combination_438,combination_438
1.0,S9,3.0,"mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s","mobilenet_v2,resnet50,yolo11m,yolo11n,yolo11s",1,399.582,454.540,combination_454,combination_454
1.0,S8,1.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1,399.925,214.987,combination_350,combination_350
1.0,S8,1.5,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x",1,386.867,186.395,combination_374,combination_374
1.0,S8,2.0,"llama1b,mobilenet_v2,qwen2_vl,resnet50,yolo11l,yolo11m,yolo11s,yolo11x","llama1b,mobilenet_v2,qwen2_vl,yolo11l,yolo11m,yolo11s,yolo11x",0,370.990,173.125,combination_398,combination_416
1.0,S10,1.0,"mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x","mobilenet_v2,resnet50,yolo11l,yolo11m,yolo11n,yolo11s,yolo11x",1,373.656,401.916,combination_470,combination_470
